name,position
Fiame Naomi Mata’afa,Prime Minister
Tuala Tevaga Iosefo Ponifasio,Deputy Prime Minister
Laauli Leuatea Polataivao Fosi,Minister of Agriculture
Olo Fiti Afoa Vaai,"Minister of Works, Transport and Infrastructure"
Leatinuu Wayne Sooialo,"Minister of Commerce, Industry and Labour"
Valasi Luapitofanua Toogamaga Tafito Selesele,Minister of Health
Faualo Harry Jeffrey Schuster,Minister of Police and Prisons
Mulipola Anarosa Ale Molioo,Minister of Finance
Seuula Ioane,"Minister of Education, Sports and Culture"
Toelupe Poumulinuku Onesemo,Minister of Communications and Information Technology
Leota Laki Lamositele,"Minister of Women, Community, and Social Development"
Matamua Seumanu Vasati Sili Pulufana,Minister of Justice and Courts Administration
