id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q1258128,O le Ao o le Malo,Q683,Q683,,,1962-01-01,,,,O le Ao o le Malo
Q1277355,Prime Minister of Samoa,Q683,Q683,,,1959-10-01,,,,Prime Minister of Samoa
Q109706109,Deputy Prime Minister of Samoa,Q683,Q683,,,,,,,
Q109706139,Minister of Agriculture of Samoa,Q683,Q683,,,,,,,
Q109706396,"Minister of Commerce, Industry and Labour",Q683,Q683,,,,,,,
Q109706841,Minister of Communications and Information Technology,Q683,Q683,,,,,,,
Q109706829,"Minister of Education, Sports and Culture",Q683,Q683,,,,,,,
Q96393323,Minister of Finance,,,,,,,,,Minister of Finance (Samoa)
Q19901424,Minister of Foreign Affairs,Q683,,,,,,,,Minister of Foreign Affairs (Samoa)
Q109706802,Minister of Health,Q683,Q683,,,,,,,
Q109706464,Minister of Justice and Courts Administration,Q683,Q683,,,,,,,
Q109706695,Minister for Natural Resources and Environment,Q683,Q683,,,,,,,
Q109706529,Minister of Police and Prisons,Q683,Q683,,,,,,,
Q109706699,Minister for Tourism,Q683,Q683,,,,,,,
Q109706873,"Minister of Women, Community, and Social Development",Q683,Q683,,,,,,,
Q109706324,"Minister of Works, Transport and Infrastructure",Q683,Q683,,,,,,,
Q6597937,Speaker of the Legislative Assembly of Samoa,,,,,,,,,List of speakers of the Legislative Assembly of Samoa
Q109168661,Attorney-General of Samoa,Q683,,,,,,,,Attorney-General of Samoa
Q109707129,Governor of the Central Bank of Samoa,Q683,,,,,,,,
